Date,"Total Enabled Membership","Enabled Full Members","Enabled Guests","Daily active members","Daily members posting messages","Weekly active members","Weekly members posting messages","Messages in public channels","Messages in private channels","Messages in shared channels","Messages in DMs","Percent of messages, public channels","Percent of messages, private channels","Percent of messages, DMs","Percent of views, public channels","Percent of views, private channels","Percent of views, DMs","Total Full Members","Total Guests","Total Claimed Full Members","Total Claimed Guests","Total Members","Total Claimed Members","Files uploaded","Messages posted by members",Name,"Public channels, single-workspace","Messages posted","Messages posted by apps"
2022-09-23,82,75,7,55,38,63,54,80,21,1,160,0.3065,0.0805,0.613,0.6656,0.1111,0.2233,75,7,75,5,82,80,57,261,0,113,425,31
2022-09-24,82,75,7,9,2,63,54,1,2,0,0,0.3333,0.6667,0,0.4375,0.4063,0.1563,75,7,75,5,82,80,0,3,0,113,7,1
2022-09-25,82,75,7,4,3,63,54,0,2,0,12,0,0.1429,0.8571,0,0.12,0.88,75,7,75,5,82,80,0,14,0,113,15,0
2022-09-26,82,75,7,53,39,64,54,93,22,9,192,0.3029,0.0717,0.6254,0.729,0.0831,0.1879,75,7,75,5,82,80,69,307,0,113,524,37
2022-09-27,83,76,7,51,36,65,56,79,17,9,267,0.2176,0.0468,0.7355,0.6487,0.0597,0.2916,76,7,76,5,83,81,64,363,0,114,517,14
2022-09-28,83,76,7,51,41,65,55,104,14,3,307,0.2447,0.0329,0.7224,0.6674,0.0473,0.2853,76,7,76,5,83,81,82,425,0,114,624,45
2022-09-29,83,76,7,47,28,64,54,53,26,2,105,0.288,0.1413,0.5707,0.7284,0.0938,0.1778,76,7,76,5,83,81,45,184,0,114,362,45
2022-09-30,83,76,7,47,37,58,51,104,21,8,274,0.2607,0.0526,0.6867,0.6307,0.0559,0.3134,76,7,76,5,83,81,80,399,0,114,596,34
2022-10-01,83,76,7,4,0,58,51,0,0,0,0,0,0,0,0.5,0.375,0.125,76,7,76,5,83,81,0,0,0,114,4,0
2022-10-02,83,76,7,4,0,58,51,0,0,0,0,0,0,0,0.8333,0.1111,0.0556,76,7,76,5,83,81,0,0,0,114,5,0
2022-10-03,83,76,7,49,40,63,53,124,25,12,226,0.3307,0.0667,0.6027,0.7072,0.0652,0.2276,76,7,76,5,83,81,133,375,0,114,691,72
2022-10-04,83,76,7,53,37,65,54,133,19,13,164,0.4209,0.0601,0.519,0.7487,0.0912,0.1602,76,7,76,5,83,81,86,316,0,114,549,12
2022-10-05,83,76,7,54,42,65,55,132,17,11,189,0.3905,0.0503,0.5592,0.7217,0.0843,0.194,76,7,76,5,83,81,70,338,0,114,681,33
2022-10-06,83,76,7,58,40,65,56,130,44,23,271,0.2921,0.0989,0.609,0.6942,0.0808,0.225,76,7,76,5,83,81,97,445,0,114,737,12
2022-10-07,83,76,7,46,35,63,54,58,21,2,212,0.1993,0.0722,0.7285,0.6321,0.082,0.2859,76,7,76,5,83,81,74,291,0,114,506,5
2022-10-08,83,76,7,8,1,63,54,1,0,0,4,0.2,0,0.8,0.55,0.05,0.4,76,7,76,5,83,81,1,5,0,114,87,0
2022-10-09,83,76,7,7,2,63,54,16,0,1,1,0.9412,0,0.0588,0.7647,0.1765,0.0588,76,7,76,5,83,81,5,17,0,114,116,0
2022-10-10,83,76,7,57,45,64,54,163,12,5,312,0.3347,0.0246,0.6407,0.7449,0.0307,0.2243,76,7,76,5,83,81,109,487,0,114,753,8
2022-10-11,83,76,7,59,46,65,56,153,36,30,414,0.2537,0.0597,0.6866,0.682,0.0686,0.2494,76,7,76,5,83,81,165,603,0,114,905,12
2022-10-12,83,76,7,56,46,65,56,92,17,35,286,0.2329,0.043,0.7241,0.6806,0.0676,0.2518,76,7,76,5,83,81,103,395,0,116,672,13
2022-10-13,83,76,7,56,46,65,55,94,71,12,324,0.1922,0.1452,0.6626,0.644,0.1143,0.2417,76,7,76,5,83,81,101,489,0,116,768,18
2022-10-14,83,76,7,55,43,65,56,133,20,6,243,0.3359,0.0505,0.6136,0.7058,0.0612,0.233,76,7,76,5,83,81,140,396,0,116,696,34
2022-10-15,83,76,7,11,4,65,56,6,0,0,3,0.6667,0,0.3333,0.9091,0.0909,0,76,7,76,5,83,81,3,9,0,116,94,3
2022-10-16,83,76,7,11,3,65,56,10,1,1,1,0.8333,0.0833,0.0833,0.7931,0.1897,0.0172,76,7,76,5,83,81,7,12,0,116,114,13
2022-10-17,83,76,7,55,47,64,58,123,41,9,199,0.3388,0.1129,0.5482,0.7677,0.0553,0.177,76,7,76,5,83,81,128,363,0,116,707,61
2022-10-18,83,76,7,56,45,63,59,132,32,4,266,0.307,0.0744,0.6186,0.6996,0.0856,0.2148,76,7,76,5,83,81,96,430,0,116,733,25
2022-10-19,83,76,7,57,40,62,56,93,31,10,191,0.2952,0.0984,0.6063,0.6527,0.119,0.2284,76,7,76,5,83,81,91,315,0,116,566,27
